eu_rank,ime_uni,mesto,drzava,svetovni_rank,drzavni_rank,uni_url,velikost,selektivnost,leto_ustanovitve,cena_solanja,zgornja_meja_cene
143,Cardiff University,Cardiff,United Kingdom,364,34,https://www.unirank.org/gb/uni/cardiff-university/,large-sized,not reported,1997,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
144,Friedrich-Schiller-Universität Jena,Jena,Germany,366,31,https://www.unirank.org/de/uni/friedrich-schiller-universitat-jena/,large-sized,moderately selective,1558,0-999 US$ (0-910 Euro),999 US$
145,University of Strathclyde,Glasgow,United Kingdom,369,35,https://www.unirank.org/gb/uni/university-of-strathclyde/,large-sized,not reported,1964,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
146,Vrije Universiteit Brussel,Brussels,Belgium,372,6,https://www.unirank.org/be/uni/vrije-universiteit-brussel/,large-sized,very selective,1970,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
147,Universidade de Coimbra,Coimbra,Portugal,374,3,https://www.unirank.org/pt/uni/universidade-de-coimbra/,large-sized,averagely selective,1290,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
148,Uniwersytet Jagielloński,Krakow,Poland,379,2,https://www.unirank.org/pl/uni/uniwersytet-jagiellonski/,very large-sized,very selective,1364,0-999 US$ (0-910 Euro),999 US$
149,Aristotle University of Thessaloniki,Thessaloniki,Greece,381,1,https://www.unirank.org/gr/uni/aristotle-university-of-thessaloniki/,very large-sized,not reported,1925,0-999 US$ (0-910 Euro),999 US$
150,Universidad Autónoma de Madrid,Madrid,Spain,382,12,https://www.unirank.org/es/uni/universidad-autonoma-de-madrid/,large-sized,not reported,1968,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
151,University of Aberdeen,Aberdeen,United Kingdom,383,36,https://www.unirank.org/gb/uni/university-of-aberdeen/,large-sized,not reported,1495,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
152,Universiteit Antwerpen,Antwerp,Belgium,385,7,https://www.unirank.org/be/uni/universiteit-antwerpen/,large-sized,not available,2003,0-999 US$ (0-910 Euro),999 US$
153,Université Claude Bernard Lyon 1,Villeurbanne,France,388,8,https://www.unirank.org/fr/uni/universite-claude-bernard-lyon-1/,large-sized,not reported,1971,0-999 US$ (0-910 Euro),999 US$
154,Università degli Studi di Firenze,Florence,Italy,389,9,https://www.unirank.org/it/uni/universita-degli-studi-di-firenze/,very large-sized,not reported,1321,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
155,National and Kapodistrian University of Athens,Athens,Greece,394,2,https://www.unirank.org/gr/uni/national-and-kapodistrian-university-of-athens/,very large-sized,not reported,1837,0-999 US$ (0-910 Euro),999 US$
156,Loughborough University,Loughborough,United Kingdom,395,37,https://www.unirank.org/gb/uni/loughborough-university/,large-sized,not reported,1966,"10,000-12,499 US$ (9,110-11,390 Euro)","12,499 US$"
157,Universidad de Murcia,Murcia,Spain,397,13,https://www.unirank.org/es/uni/universidad-de-murcia/,large-sized,moderately selective,1272,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
158,Universidad de Zaragoza,Zaragoza,Spain,401,14,https://www.unirank.org/es/uni/universidad-de-zaragoza/,large-sized,not reported,1542,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
159,Université de Lausanne,Lausanne,Switzerland,402,7,https://www.unirank.org/ch/uni/universite-de-lausanne/,large-sized,not reported,1537,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
160,Universität Potsdam,Potsdam,Germany,403,32,https://www.unirank.org/de/uni/universitat-potsdam/,large-sized,not available,1991,0-999 US$ (0-910 Euro),999 US$
161,Università degli Studi di Napoli Federico II,Naples,Italy,405,10,https://www.unirank.org/it/uni/universita-degli-studi-di-napoli-federico-ii/,very large-sized,not reported,1224,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
162,Universität Ulm,Ulm,Germany,407,33,https://www.unirank.org/de/uni/universitat-ulm/,large-sized,not reported,1967,0-999 US$ (0-910 Euro),999 US$
163,Universität Regensburg,Regensburg,Germany,408,34,https://www.unirank.org/de/uni/universitat-regensburg/,large-sized,not reported,1962,0-999 US$ (0-910 Euro),999 US$
164,Karolinska Institutet,Stockholm,Sweden,409,9,https://www.unirank.org/se/uni/karolinska-institutet/,medium-sized,not reported,1861,0-999 US$ (0-910 Euro),999 US$
165,Martin-Luther-Universität Halle-Wittenberg,Halle,Germany,411,35,https://www.unirank.org/de/uni/martin-luther-universitat-halle-wittenberg/,large-sized,averagely selective,1817,0-999 US$ (0-910 Euro),999 US$
166,Otto-von-Guericke-Universität Magdeburg,Magdeburg,Germany,412,36,https://www.unirank.org/de/uni/otto-von-guericke-universitat-magdeburg/,large-sized,not reported,1993,0-999 US$ (0-910 Euro),999 US$
167,Universidad de Alicante,San Vicente del Raspeig,Spain,415,15,https://www.unirank.org/es/uni/universidad-de-alicante/,large-sized,moderately selective,1979,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
168,Erasmus Universiteit Rotterdam,Rotterdam,Netherlands,417,11,https://www.unirank.org/nl/uni/erasmus-universiteit-rotterdam/,very large-sized,not reported,1913,"2,500-4,999 US$ (2,280-4,555 Euro)","4,999 US$"
169,Universität Duisburg-Essen,Essen,Germany,418,37,https://www.unirank.org/de/uni/universitat-duisburg-essen/,very large-sized,not available,2003,0-999 US$ (0-910 Euro),999 US$
170,Philipps-Universität Marburg,Marburg,Germany,419,38,https://www.unirank.org/de/uni/philipps-universitat-marburg/,large-sized,not reported,1527,0-999 US$ (0-910 Euro),999 US$
171,Universität Paderborn,Paderborn,Germany,421,39,https://www.unirank.org/de/uni/universitat-paderborn/,large-sized,not reported,1972,0-999 US$ (0-910 Euro),999 US$
172,Carl von Ossietzky Universität Oldenburg,Oldenburg,Germany,425,40,https://www.unirank.org/de/uni/carl-von-ossietzky-universitat-oldenburg/,large-sized,not reported,1973,0-999 US$ (0-910 Euro),999 US$
173,University College Cork,Cork,Ireland,426,3,https://www.unirank.org/ie/uni/university-college-cork/,large-sized,not reported,1845,"1,000-2,499 US$ (910-2,280 Euro)","2,499 US$"
174,Université Côte d'Azur,Nice,France,429,9,https://www.unirank.org/fr/uni/universite-cote-d-azur/,very large-sized,not reported,1965,0-999 US$ (0-910 Euro),999 US$
175,École Normale Supérieure,Paris,France,430,10,https://www.unirank.org/fr/uni/ecole-normale-superieure/,small-sized,not reported,1794,0-999 US$ (0-910 Euro),999 US$
